MGI	HGNC
Mycbp2	MYCBP2
Tmem273	TMEM273
Hsd17b1	HSD17B1
Oaz2	OAZ2
Ccdc25	CCDC25
Rbm12b1	RBM12B
Fam92a	FAM92A
Ctr9	CTR9
Ints4	INTS4
Kiz	KIZ
Tas2r144	TAS2R40
Glyr1	GLYR1
Plekhg5	PLEKHG5
Th	TH
Gm13547	GOLGA8F
Slc4a1	SLC4A1
Cisd2	CISD2
Ndufb3	NDUFB3
Tbc1d19	TBC1D19
Ltbp1	LTBP1
Cfap65	CFAP65
Nthl1	NTHL1
Snx4	SNX4
Coasy	COASY
Rps20	RPS20
F2rl3	F2RL3
1700037H04Rik	C20orf27
Esco2	ESCO2
Baiap3	BAIAP3
Snupn	SNUPN
Kcnd1	KCND1
Fam155a	FAM155A
Sult1e1	SULT1E1
Rab37	RAB37
Snrnp200	SNRNP200
Zc3hav1	ZC3HAV1
Gm45716	SMIM36
Cxcr5	CXCR5
Mzt1	MZT1
Ctag2	CTAG1A
Ctag2	CTAG1B
Asz1	ASZ1
Pdxk	PDXK
Pbk	PBK
Dlgap1	DLGAP1
Tsr3	TSR3
Trim61	TRIM61
Cdh18	CDH18
Slc9a3r1	SLC9A3R1
Plcxd3	PLCXD3
3425401B19Rik	C10orf71
Dsc1	DSC1
Gtpbp4	GTPBP4
Nmral1	NMRAL1
Npy	NPY
Duox1	DUOX1
Pkd1	PKD1
Podnl1	PODNL1
Adora2b	ADORA2B
Zfp37	ZFP37
Il2rg	IL2RG
Galnt15	GALNT15
Foxo4	FOXO4
Eif4g2	EIF4G2
Bhlha9	BHLHA9
Rhog	RHOG
Gm6890	CTAG1A
Gm6890	CTAG1B
Psap	PSAP
Ptk2	PTK2
Nifk	NIFK
Espn	ESPN
Styxl1	STYXL1
Ptpn9	PTPN9
Tusc5	TRARG1
Orc2	ORC2
Mad1l1	MAD1L1
Dcaf15	DCAF15
Fam126b	FAM126B
Slc9b1	SLC9B1
Gabre	GABRE
Arid3a	ARID3A
Ubn1	UBN1
Pibf1	PIBF1
Efcab6	EFCAB6
Rbm12b2	RBM12B
Arhgef18	ARHGEF18
Gm6880	CTAG1A
Gm6880	CTAG1B
Pdcd10	PDCD10
Wiz	WIZ
Gm20489	IL2RG
Rnase12	RNASE12
Dis3	DIS3
Lrrc28	LRRC28
Atxn2l	ATXN2L
Prrxl1	DRGX
Cd300ld5	CD300LF
Vim	VIM
Tgfa	TGFA
Prok2	PROK2
Il1r1	IL1R1
Nkx2-6	NKX2-6
Abhd16b	ABHD16B
Ndrg2	NDRG2
Cd300ld	CD300LF
Prkci	PRKCI
Uros	UROS
Cd300ld4	CD300LF
Dync1li2	DYNC1LI2
Gk	GK3P
Msi2	MSI2
Nkap	NKAP
Tmem43	TMEM43
Spata31	SPATA31A7
Unkl	UNKL
Tmem192	TMEM192
Nrtn	NRTN
Scg3	SCG3
Ch25h	CH25H
Atg4a	ATG4A
Eml6	EML6
Armh3	ARMH3
Tsc2	TSC2
Spdye4a	SPDYE16
Osbpl11	OSBPL11
Ptprd	PTPRD
Srsf6	SRSF6
Dclk2	DCLK2
Gm5819	UNKL
Pdgfc	PDGFC
Gm6880	CTAG2
Sox1	SOX1
Mpp6	MPP6
BC016579	C3orf52
Agtr1b	AGTR1
Aldoart2	ALDOA
Lrrd1	LRRD1
Ky	KY
Pstpip1	PSTPIP1
Intu	INTU
Gm614	CXorf65
Ash2l	ASH2L
9530068E07Rik	C5orf15
Tmem253	TMEM253
Zscan25	ZSCAN25
Cd300lf	CD300LF
Clta	CLTA
Tsc22d2	TSC22D2
Cdh6	CDH6
Tifa	TIFA
Camk1	CAMK1
Tet3	TET3
Cd300ld3	CD300LF
Kpna4	KPNA4
Oxsm	OXSM
Fbxo24	FBXO24
Gm6890	CTAG2
Agtr1a	AGTR1
Serf1	SERF1B
Spi1	SPI1
Sun2	SUN2
Cyp51	CYP51A1
Pcolce	PCOLCE
Lsm3	LSM3
Trim60	TRIM60
Piga	PIGA
Spef1	SPEF1
Hdac8	HDAC8
Ralgps1	RALGPS1
Gcsam	GCSAM
Tnnc1	TNNC1
Txnrd3	TXNRD3
Ctag2	CTAG2
Nisch	NISCH
Pigl	PIGL
Eloa	ELOA2
Eloa	ELOA3C
Eloa	ELOA3B
Eloa	ELOA3D
Eloa	ELOA3
Ngly1	NGLY1
Ppm1l	PPM1L
Map3k2	MAP3K2
Zfp219	ZNF219
Lsm1	LSM1
Gpr119	GPR119
Gne	GNE
1700016D06Rik	SPACA7
Spdye4b	SPDYE16
Hoxa13	HOXA13
Nme8	NME8
Stk33	STK33
Fam136a	FAM136A
Slc26a8	SLC26A8
Frem2	FREM2
Lgr4	LGR4
Chl1	CHL1
Rybp	RYBP
Cd300ld2	CD300LF
Ifit1	IFIT1B
Star	STAR
Hps6	HPS6
Zpld1	ZPLD1
Ift27	IFT27
Rbpms2	RBPMS2
Bag4	BAG4
4921524J17Rik	C16orf87
Akap14	AKAP14
Arl14	ARL14
Ptpn2	PTPN2
Msc	MSC
Selenot	SELENOT
Rps3	RPS3
Eif2a	EIF2A
Ercc6	ERCC6
Ebag9	EBAG9
Tuba8	TUBA8
Defb43	DEFB131B
Ncor1	NCOR1
Hibadh	HIBADH
Foxr1	FOXR1
Vegfd	VEGFD
Klhl29	KLHL29
Lgals12	LGALS12
Mocs3	MOCS3
Bora	BORA
Maea	MAEA
Edar	EDAR
Serp1	SERP1
Puf60	PUF60
Itpripl1	ITPRIPL1
Alpk1	ALPK1
Gm45785	BET1L
Odf3	ODF3
Gapdh	GAPDH
Tnfaip1	TNFAIP1
Shoc2	SHOC2
Tnfrsf25	TNFRSF25
Izumo1r	IZUMO1R
Gm20605	LRCH4
Shf	SHF
Aldoa	ALDOA
Mrpl21	MRPL21
Fgf20	FGF20
Pctp	PCTP
Gm3839	GAPDH
Lrch4	LRCH4
Gpr141	GPR141
Emd	EMD
Anxa5	ANXA5
Plxna4	PLXNA4
Sub1	SUB1
Kif1c	KIF1C
Wdr18	WDR18
Xpc	XPC
Gm10358	GAPDH
Pom121	POM121
Ndufv1	NDUFV1
Ifit1bl2	IFIT1B
Ercc4	ERCC4
Jak3	JAK3
Slc35b3	SLC35B3
Gsap	GSAP
Slc25a37	SLC25A37
Cln5	CLN5
Zc3h12c	ZC3H12C
Sec31a	SEC31A
Tradd	TRADD
Hsf4	HSF4
Slc36a4	SLC36A4
Nkx3-1	NKX3-1
Cryl1	CRYL1
Katnal2	KATNAL2
Dnal4	DNAL4
Bola3	BOLA3
Tppp2	TPPP2
Xylb	XYLB
Ap1ar	AP1AR
Mgmt	MGMT
Lrrn4	LRRN4
Ufm1	UFM1
Spaca7	SPACA7
Lypd6	LYPD6
Gnai2	GNAI2
Lig4	LIG4
Nol6	NOL6
Slc38a7	SLC38A7
Rdx	RDX
Sfrp4	SFRP4
Pign	PIGN
Scgb1c1	SCGB1C1
Nipsnap2	NIPSNAP2
Zbtb21	ZBTB21
Banf1	BANF1
Evx1	EVX1
Stc1	STC1
Med24	MED24
Kcng1	KCNG1
Tcap	TCAP
Slc25a38	SLC25A38
Angptl2	ANGPTL2
Polm	POLM
Gpr17	GPR17
Abhd13	ABHD13
Mettl26	METTL26
Micu3	MICU3
Tmem100	TMEM100
Dhx8	DHX8
Ebf3	EBF3
Klhl2	KLHL2
Kif1b	KIF1B
Atp2a3	ATP2A3
Ifit1bl1	IFIT1B
Aldoart1	ALDOA
Cps1	CPS1
Lrrc10b	LRRC10B
Sap25	SAP25
Mrps17	MRPS17
Syt8	SYT8
Pcdh20	PCDH20
Tmem170b	TMEM170B
Poldip2	POLDIP2
Duoxa2	DUOXA2
Bet1l	BET1L
Arfgef2	ARFGEF2
Trpa1	TRPA1
Eif1ad	EIF1AD
Lypd6b	LYPD6B
Lipa	LIPA
Aplp2	APLP2
Pias2	PIAS2
Pex26	PEX26
Etv4	ETV4
Fermt1	FERMT1
Hrasls5	HRASLS5
Msantd1	MSANTD1
Defb26	DEFB125
Rundc3a	RUNDC3A
Atg4a-ps	ATG4A
Sh3rf3	SH3RF3
Fbxl8	FBXL8
Stard3	STARD3
A430033K04Rik	ZNF713
Mcm5	MCM5
Ephb1	EPHB1
Gpr83	GPR83
Iqcm	IQCM
Nr1d1	NR1D1
Slc39a13	SLC39A13
Zp3	POMZP3
Cdyl	CDYL
Ang2	ANG
Deup1	DEUP1
Trim25	TRIM25
Ifit3	IFIT3
Zfp462	ZNF462
Tcrg-C1	TRGC1
Tcrg-C1	TRGC2
Akap13	AKAP13
Hpx	HPX
Ecm2	ECM2
Dzip1l	DZIP1L
Il17rc	IL17RC
Srrm3	SRRM3
Olfr750	OR6S1
Wdcp	WDCP
Fgl2	FGL2
Ascl2	ASCL2
Stoml3	STOML3
Omd	OMD
Tcrg-C2	TRGC1
Tcrg-C2	TRGC2
Plag1	PLAG1
Sema6a	SEMA6A
Glrx3	GLRX3
Spem2	SPEM2
Trgv2	TRGV11
Sept10	SEPT10
Hes1	HES1
Slc25a31	SLC25A31
Gm5751	SSX2B
Gm5751	SSX2
Gm5751	SSX7
Ippk	IPPK
Tcrg-C3	TRGC1
Tcrg-C3	TRGC2
Dsg4	DSG4
Xlr3b	FAM9A
Xlr3b	FAM9B
Rgs12	RGS12
Gm21876	SSX2B
Gm21876	SSX2
Gm21876	SSX7
Rftn1	RFTN1
Rhox13	RHOXF1
Ubxn2a	UBXN2A
Dpys	DPYS
Nrbf2	NRBF2
Wfs1	WFS1
Emc8	EMC8
Rab34	RAB34
Mrm2	MRM2
Eif4g3	EIF4G3
Lcp1	LCP1
Ogg1	OGG1
Ercc6l	ERCC6L
Slc37a4	SLC37A4
Xlr3c	FAM9A
Xlr3c	FAM9B
Kctd14	KCTD14
Pbrm1	PBRM1
Tmem259	TMEM259
Tpo	TPO
Cpn2	CPN2
Sdr16c5	SDR16C5
Gm1140	FAM9A
Gm1140	FAM9B
Ddx58	DDX58
Cpa3	CPA3
Psmd13	PSMD13
9930012K11Rik	C8orf58
Grin3b	GRIN3B
Slc26a3	SLC26A3
Usp14	USP14
Sorbs1	SORBS1
Cldn18	CLDN18
Mmel1	MMEL1
Ahrr	AHRR
Rpusd3	RPUSD3
Tax1bp1	TAX1BP1
Hdhd2	HDHD2
Krit1	KRIT1
Pin4	PIN4
Dand5	DAND5
Jmjd1c	JMJD1C
Dnaja2	DNAJA2
Ankrd49	ANKRD49
Rnase4	RNASE4
Coro2b	CORO2B
Zc3h13	ZC3H13
Mmadhc	MMADHC
Ang5	ANG
Peg10	PEG10
Rsad2	RSAD2
Npr3	NPR3
Mef2a	MEF2A
Dsg1b	DSG1
Pml	PML
Rad23a	RAD23A
Syt7	SYT7
Ang6	ANG
Got2	GOT2
Gm14459	SSX2B
Gm14459	SSX2
Gm14459	SSX7
Fah	FAH
Ssxb1	SSX2B
Ssxb1	SSX2
Ssxb1	SSX7
Nlgn2	NLGN2
3830417A13Rik	MAGEA10
Magea1	MAGEA10
Wnk1	WNK1
Xlr4b	FAM9A
Xlr4b	FAM9B
Gsdme	GSDME
Adam7	ADAM7
Pprc1	PPRC1
Zfp358	ZNF358
Rps4x	RPS4X
Ttc19	TTC19
Cyp3a59	CYP3A5
Il1rl2	IL1RL2
Ssxb5	SSX2B
Ssxb5	SSX2
Ssxb5	SSX7
Chchd3	CHCHD3
Aard	AARD
Mlana	MLANA
Defb20	DEFB128
Adra2a	ADRA2A
Magea5	MAGEA10
Tmem102	TMEM102
Ifit2	IFIT2
Cyp3a41a	CYP3A5
Fam71f2	FAM71F2
Chchd7	CHCHD7
Prpf4	PRPF4
Il1rl1	IL1RL1
Ssxb8	SSX2B
Ssxb8	SSX2
Ssxb8	SSX7
Clec10a	CLEC10A
Dnase1l1	DNASE1L1
Gp9	GP9
Pla2g16	PLA2G16
Pdcd6	PDCD6
Fn3krp	FN3KRP
Magea6	MAGEA10
Mos	MOS
Ssxa1	SSX2B
Ssxa1	SSX2
Ssxa1	SSX7
Xrn2	XRN2
Mitf	MITF
Cyp3a44	CYP3A5
Exoc3	EXOC3
Tnfsf13b	TNFSF13B
Magea2	MAGEA10
Pkia	PKIA
Mat2a	MAT2A
Spert	SPERT
Amotl2	AMOTL2
Sbspon	SBSPON
Gm14692	FAM9A
Gm14692	FAM9B
Xlr5c	FAM9A
Xlr5c	FAM9B
Chsy1	CHSY1
Reep3	REEP3
Map3k20	MAP3K20
Siah3	SIAH3
Ssxb10	SSX2B
Ssxb10	SSX2
Ssxb10	SSX7
Aspn	ASPN
Dkc1	DKC1
Col4a6	COL4A6
Cenpv	CENPV
Slc31a1	SLC31A1
Ang4	ANG
Mrgprf	MRGPRF
Ctnna2	CTNNA2
Gkap1	GKAP1
Mfsd2b	MFSD2B
Asl	ASL
Cyp3a11	CYP3A5
Ccdc146	CCDC146
Pde9a	PDE9A
Fign	FIGN
Gtpbp1	GTPBP1
Rgcc	RGCC
Ccna1	CCNA1
Jak2	JAK2
Stard3nl	STARD3NL
Irs2	IRS2
Dgke	DGKE
Emsy	EMSY
Dsg1c	DSG1
Insl6	INSL6
Xlr4a	FAM9A
Xlr4a	FAM9B
Sirt3	SIRT3
Gpam	GPAM
Lysmd4	LYSMD4
Stim1	STIM1
Zcchc3	ZCCHC3
Ndufc2	NDUFC2-KCTD14
Ndufc2	NDUFC2
Magea8	MAGEA10
Fam151b	FAM151B
Camk4	CAMK4
Otor	OTOR
Mdh2	MDH2
Gab3	GAB3
Myo16	MYO16
Slmap	SLMAP
Xlr3a	FAM9A
Xlr3a	FAM9B
Map7d2	MAP7D2
Ssxb9	SSX2B
Ssxb9	SSX2
Ssxb9	SSX7
Trappc4	TRAPPC4
Nek4	NEK4
Cpb2	CPB2
Olfr1258	OR4C46
Cstb	CSTB
C1qtnf7	C1QTNF7
Gp5	GP5
Arpc4	ARPC4
Glrb	GLRB
Lrrc15	LRRC15
Golga2	GOLGA8G
Tnfsf9	TNFSF9
Fsd2	FSD2
Casd1	CASD1
Bmx	BMX
Nfix	NFIX
Skil	SKIL
Pex11g	PEX11G
Cyp3a25	CYP3A5
Dph3	DPH3
Jazf1	JAZF1
Ssxb2	SSX2B
Ssxb2	SSX2
Ssxb2	SSX7
Ranbp3	RANBP3
Olfr1202	OR4C46
Whamm	WHAMM
Tdrd7	TDRD7
Prrc2a	PRRC2A
Cpeb2	CPEB2
Lipt2	LIPT2
Umodl1	UMODL1
Oxct1	OXCT1
Cpe	CPE
Rbpms	RBPMS
Shq1	SHQ1
Magea10	MAGEA10
Fbxo4	FBXO4
Psmc3ip	PSMC3IP
Cyp3a16	CYP3A5
Cenpp	CENPP
Bdh2	BDH2
Gata3	GATA3
Vwa8	VWA8
Prpf18	PRPF18
Aco1	ACO1
Alcam	ALCAM
Ldb1	LDB1
AW549877	C5orf51
Slc9a3	SLC9A3
Egr2	EGR2
Pkdcc	PKDCC
Engase	ENGASE
Il18r1	IL18R1
Abi3	ABI3
Ndufa11	NDUFA11
Imp4	IMP4
Adam28	ADAM28
Dsg1a	DSG1
Fgf11	FGF11
Taz	TAZ
Penk	PENK
Ssx9	SSX2B
Ssx9	SSX2
Ssx9	SSX7
Cited1	CITED1
Gngt2	GNGT2
Cox4i1	COX4I1
Mt3	MT3
Terf1	TERF1
Ggcx	GGCX
Ighmbp2	IGHMBP2
Thrsp	THRSP
Ccdc84	CCDC84
Sgce	SGCE
Tcrg-V4	TRGV11
Mob1a	MOB1A
Gadd45gip1	GADD45GIP1
Etl4	KIAA1217
Pglyrp2	PGLYRP2
Ccnf	CCNF
Cntnap3	CNTNAP3C
9930021J03Rik	KIAA2026
Ift88	IFT88
Ssxb3	SSX2B
Ssxb3	SSX2
Ssxb3	SSX7
Rbmx2	RBMX2
Xlr4c	FAM9A
Xlr4c	FAM9B
Cyp3a13	CYP3A5
Sox14	SOX14
Atl3	ATL3
Tcrg-V3	TRGV11
Tcrg-V7	TRGV3
Tcrg-V7	TRGV8
Tcrg-V7	TRGV2
Tcrg-V7	TRGV5
Tcrg-V7	TRGV1
Tcrg-V7	TRGV4
Mrpl39	MRPL39
Sntg2	SNTG2
Sox12	SOX12
Usp25	USP25
Mlx	MLX
Ptpn13	PTPN13
Magea3	MAGEA10
Adamdec1	ADAMDEC1
Fkbp1b	FKBP1B
Rnase6	RNASE6
Ubtfl1	UBTFL1
Slc1a2	SLC1A2
Magea4	MAGEA10
Ang	ANG
Tmem106b	TMEM106B
Nt5dc2	NT5DC2
Lrrtm1	LRRTM1
BC025920	ZNF77
Gabra3	GABRA3
Msmo1	MSMO1
Pdlim2	PDLIM2
Plekha3	PLEKHA3
Cdkl2	CDKL2
Itpr1	ITPR1
Rfx1	RFX1
Myh11	MYH11
Cyp3a57	CYP3A5
Olfr1257	OR4C46
Gm13547	GOLGA8G
Tmc5	TMC5
Chrnb1	CHRNB1
Nrsn2	NRSN2
Cdc26	CDC26
Arhgap24	ARHGAP24
Cbfa2t3	CBFA2T3
Ankrd34b	ANKRD34B
Oxnad1	OXNAD1
Hs3st2	HS3ST2
Mapk10	MAPK10
Zc2hc1a	ZC2HC1A
Cdk5	CDK5
Kif27	KIF27
Specc1l	SPECC1L-ADORA2A
Specc1l	SPECC1L
Ankrd29	ANKRD29
Gatd1	GATD1
Adtrp	ADTRP
Adora2a	ADORA2A
Fkbp7	FKBP7
Adgra1	ADGRA1
Jam2	JAM2
Slco2a1	SLCO2A1
Tpd52l2	TPD52L2
Xlr5a	FAM9A
Xlr5a	FAM9B
Slit2	SLIT2
Slc31a2	SLC31A2
Lcor	LCOR
Cpb1	CPB1
Ric8a	RIC8A
Tcrg-V1	TRGV11
Ier3ip1	IER3IP1
Slc9b2	SLC9B2
Nog	NOG
Zfp516	ZNF516
6820408C15Rik	C20orf96
Grb14	GRB14
Atad2b	ATAD2B
Tle6	TLE6
Nol8	NOL8
Tex45	TEX45
Vps28	VPS28
Olfr1204	OR4C46
1700080O16Rik	MAGEA10
Gm27021	C16orf74
Neb	NEB
Rasal3	RASAL3
Eml4	EML4
Mrgprd	MRGPRD
Ssxb6	SSX2B
Ssxb6	SSX2
Ssxb6	SSX7
Il7	IL7
Cenpk	CENPK
Rtn4rl1	RTN4RL1
Tnks	TNKS
Lipi	LIPI
Tsn	TSN
Cyp3a41b	CYP3A5
Naalad2	NAALAD2
Thoc1	THOC1
Gm525	C17orf67
Med30	MED30
Spg20	SPART
Gabpa	GABPA
Ifit3b	IFIT3
Fdx1	FDX1
Rgma	RGMA
Magi2	MAGI2
Upb1	UPB1
Eddm3b	EDDM3A
Eddm3b	EDDM3B
Ubxn7	UBXN7
Thra	THRA
Atp5j	ATP5PF
Pcsk2	PCSK2
Taf3	TAF3
Efcc1	EFCC1
Slc4a2	SLC4A2
Pif1	PIF1
Ninj2	NINJ2
1190005I06Rik	C16orf74
Gpt2	GPT2
Tcrg-C4	TRGC1
Tcrg-C4	TRGC2
Pnliprp1	PNLIPRP1
Dcstamp	DCSTAMP
Mog	MOG
Maf	MAF
Mre11a	MRE11
Cdh12	CDH12
Pex2	PEX2
Zswim7	ZSWIM7
Spem1	SPEM1
Hivep1	HIVEP1
Acad9	ACAD9
Crcp	CRCP
Cmpk2	CMPK2
Vmac	VMAC
Rnf144a	RNF144A
Mcts1	MCTS2P
Mgl2	CLEC10A
B4galnt2	B4GALNT2
Rp9	RP9
Rpl18a	RPL18A
Ogn	OGN
Slc30a8	SLC30A8
Defb23	DEFB129
Ryk	RYK
H13	HM13
Dynlrb2	DYNLRB2
Selenos	SELENOS
Ttll3	ARPC4-TTLL3
Ttll3	TTLL3
Rrp1	RRP1
Fam213b	PRXL2B
Fkbp15	FKBP15
Tada3	TADA3
Ttc26	TTC26
Mt4	MT4
Smn1	SMN2
Xlr5b	FAM9A
Xlr5b	FAM9B
Pir	PIR
Usp31	USP31
Calr	CALR
Gm6592	SSX2B
Gm6592	SSX2
Gm6592	SSX7
Gucd1	GUCD1
Csn2	CSN2
Bccip	BCCIP
Chordc1	CHORDC1
Cldn34d	CLDN34
Scpep1	SCPEP1
Cbx6	CBX6
Actl7a	ACTL7A
Rnf121	RNF121
Syn2	SYN2
Cldn34c2	CLDN34
Ighv8-4	IGHV2OR16-5
Btla	BTLA
Olfr74	OR5D18
Zscan29	ZSCAN29
Fn3k	FN3K
Col4a1	COL4A1
Gabrq	GABRQ
Snx33	SNX33
Pdyn	PDYN
Nek8	NEK8
Dsg2	DSG2
Ncaph	NCAPH
Olfr1251	OR4A8
Olfr1251	OR4A5
Stk35	STK35
Sdf2l1	SDF2L1
Anapc15-ps	ANAPC15
Smim18	SMIM18
Tmprss13	TMPRSS13
Trib3	TRIB3
Cep295	CEP295
Olfr1138	OR5W2
Aebp1	AEBP1
Galnt14	GALNT14
Zfp457	ZNF727
Zfp457	ZNF736
Olfr1099	OR8H2
Olfr1099	OR8H3
Slbp	SLBP
Cd200	CD200
Tecrl	TECRL
Olfr1206	OR4C11
Plod1	PLOD1
Gal3st3	GAL3ST3
Ssc4d	SSC4D
Tbxa2r	TBXA2R
Srpk3	SRPK3
Samsn1	SAMSN1
Tnfaip6	TNFAIP6
Zp3	ZP3
Cyp2d22	CYP2D6
Ighv8-2	IGHV2OR16-5
Klrg2	KLRG2
Lrrc3b	LRRC3B
Olfr1008	OR8K5
Olfr1053	OR8K5
Gosr1	GOSR1
Copg1	COPG1
Olfr1174-ps	OR5D3P
Id2	ID2
Samd8	SAMD8
Acy3	ACY3
Cbx2	CBX2
Ppl	PPL
Timp4	TIMP4
Cep19	CEP19
Gabpb1	GABPB1
Trmt1	TRMT1
Olfr1175-ps	OR5D3P
Olfr1161	OR5D18
Impad1	IMPAD1
1700003F12Rik	C20orf144
Olfr1170	OR5D13
Cobll1	COBLL1
Cbx4	CBX4
Pigg	PIGG
Nhlrc3	NHLRC3
Rif1	RIF1
Lcmt2	LCMT2
Phb	PHB
Ppm1f	PPM1F
Vps37a	VPS37A
Gde1	GDE1
Olfr1246	OR4A8
Olfr1246	OR4A5
2210011C24Rik	MISP3
Tll1	TLL1
Dennd3	DENND3
Calu	CALU
Olfr1173	OR5D13
1110051M20Rik	C11orf49
Lrrc75b	LRRC75B
Slc7a14	SLC7A14
Ppp2ca	PPP2CA
Olfr1157	OR5L1
Olfr1157	OR5L2
Dbr1	DBR1
Dlx4	DLX4
Slc7a7	SLC7A7
Pcsk6	PCSK6
Mb	MB
Ucn3	UCN3
Tyrp1	TYRP1
Ube2q2	UBE2Q2
1700003E16Rik	C2orf81
Garnl3	GARNL3
Olfr1250	OR4A16
Nsdhl	NSDHL
Cyp4f39	CYP4F22
Cyp3a59	CYP3A7
Cyp3a59	CYP3A7-CYP3A51P
Cyp3a59	CYP3A4
Cyp3a59	CYP3A43
Gtse1	GTSE1
Olfr1212	OR4C15
Dgkh	DGKH
Taf1d	TAF1D
Txnl4b	TXNL4B
Nrros	NRROS
Olfr1225	OR4C15
Tnni2	TNNI2
Nop10	NOP10
Mcm2	MCM2
Cd274	CD274
Atp13a3	ATP13A3
Grn	GRN
Olfr1232	OR4C15
Fen1	FEN1
Rb1cc1	RB1CC1
Lpcat4	LPCAT4
Sowahc	SOWAHC
Ighv8-5	IGHV2OR16-5
Olfr1248	OR4A16
Arhgap27	ARHGAP27
Cldn34c1	CLDN34
Cyp3a44	CYP3A7
Cyp3a44	CYP3A7-CYP3A51P
Cyp3a44	CYP3A4
Cyp3a44	CYP3A43
Sp3	SP3
Dhx58	DHX58
Slc25a39	SLC25A39
Trmt2a	TRMT2A
Sgtb	SGTB
Olfr1217	OR4C15
Slc23a3	SLC23A3
Grip2	GRIP2
Tmem44	TMEM44
Ints8	INTS8
Gipc3	GIPC3
Trp53inp1	TP53INP1
Agpat1	AGPAT1
Cyp3a41a	CYP3A7
Cyp3a41a	CYP3A7-CYP3A51P
Cyp3a41a	CYP3A4
Cyp3a41a	CYP3A43
Cog6	COG6
Fzd5	FZD5
Tppp	TPPP
Ano10	ANO10
Elovl3	ELOVL3
Ccdc116	CCDC116
Ddr1	DDR1
Olfr73	OR5D18
Erc1	ERC1
Zfp738	ZNF727
Zfp738	ZNF736
Ccdc14	CCDC14
Amph	AMPH
Hspa4l	HSPA4L
Olfr1122	OR10AG1
Rbm43	RBM43
C1qbp	C1QBP
Olfr1238	OR4A8
Olfr1238	OR4A5
Olfr1221	OR4C15
H2afb2	H2AFB1
Ear1	RNASE3
Ear1	RNASE2
P4hb	P4HB
St14	ST14
Cldn11	CLDN11
Smco4	SMCO4
Carf	CARF
Nsd3	NSD3
Pax1	PAX1
F8	F8
Ppp4r3b	PPP4R3B
Pvalb	PVALB
Olfr1252	OR4A16
1700019N19Rik	C10orf82
Sco2	SCO2
Gprin3	GPRIN3
Piwil4	PIWIL4
Dupd1	DUPD1
Oprk1	OPRK1
Dnhd1	DNHD1
Cyp4f16	CYP4F8
