dblabel	dblabelEFO	EFO	short_dblabel	is_level	l4	l4EFO	l3	l3EFO	l2	l2EFO	l1	l1EFO	l0	l0EFO
blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	VesselEndothelial	3					endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
epithelial cell of lung	epithelial cell of lung	CL:0000082	LungEpithelial	2							epithelial cell	CL:0000066	cell	CL:0000548
T cell	T cell	CL:0000084	Tcell	3					lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
Kupffer cell	Kupffer cell	CL:0000091	Kupffer	4			macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
granulocyte	granulocyte	CL:0000094	Granulocyte	3					myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
mast cell	mast cell	CL:0000097	Mast	3					myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
interneuron	interneuron	CL:0000099	Interneuron	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
bipolar neuron	bipolar neuron	CL:0000103	BipolarN	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
cholinergic neuron	cholinergic neuron	CL:0000108	CholinergicN	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
endothelial cell	endothelial cell	CL:0000115	Endothelial	1									cell	CL:0000548
basket cell	basket cell	CL:0000118	Basket	4			central nervous system neuron	CL:2000029	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
granule cell	granule cell	CL:0000120	Granule	4			central nervous system neuron	CL:2000029	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
Purkinje cell	Purkinje cell	CL:0000121	Purkinje	4			central nervous system neuron	CL:2000029	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
glial cell	glial cell	CL:0000125	Glial	2							neural cell	CL:0002319	cell	CL:0000548
macroglial cell	macroglial cell	CL:0000126	Macroglial	3					glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
astrocyte	astrocyte	CL:0000127	Astrocyte	4			macroglial cell	CL:0000126	glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
oligodendrocyte	oligodendrocyte	CL:0000128	Oligodendrocyte	4			macroglial cell	CL:0000126	glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
microglial cell	microglial cell	CL:0000129	Microglial	5	central nervous system macrophage	CL:0000878	macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
mesenchymal stem cell	mesenchymal stem cell	CL:0000134	MesenchymalStem	4			multi fate stem cell	CL:0000048	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
pigment cell	pigment cell	CL:0000147	Pigment	2							epithelial cell	CL:0000066	cell	CL:0000548
glandular epithelial cell	glandular epithelial cell	CL:0000150	GlandularEpithelial	2							epithelial cell	CL:0000066	cell	CL:0000548
sebum secreting cell	sebum secreting cell	CL:0000317	SebumSecreting	2							secretory cell	CL:0000151	cell	CL:0000548
club cell	club cell	CL:0000158	Club	5	bronchial epithelial cell	CL:0002328	respiratory epithelial cell	CL:0002368	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
goblet cell	goblet cell	CL:0000160	Goblet	3					glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
endocrine cell	endocrine cell	CL:0000163	Endocrine	2							secretory cell	CL:0000151	cell	CL:0000548
enteroendocrine cell	enteroendocrine cell	CL:0000164	Enteroendocrine	3					glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
neuroendocrine cell	neuroendocrine cell	CL:0000165	Neuroendocrine	3					endocrine cell	CL:0000163	secretory cell	CL:0000151	cell	CL:0000548
type B pancreatic cell	type B pancreatic cell	CL:0000169	BetaPancreatic	5	pancreatic endocrine cell	CL:0008024	enteroendocrine cell	CL:0000164	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
pancreatic A cell	pancreatic A cell	CL:0000171	AlphaPancreatic	5	pancreatic endocrine cell	CL:0008024	enteroendocrine cell	CL:0000164	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
pancreatic D cell	pancreatic D cell	CL:0000173	DeltaPancreatic	5	pancreatic endocrine cell	CL:0008024	enteroendocrine cell	CL:0000164	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
Leydig cell	Leydig cell	CL:0000178	Leydig	2							secretory cell	CL:0000151	cell	CL:0000548
hepatocyte	hepatocyte	CL:0000182	Hepatocyte	2							epithelial cell	CL:0000066	cell	CL:0000548
contractile cell	contractile cell	CL:0000183	Contractile	1									cell	CL:0000548
myofibroblast cell	myofibroblast cell	CL:0000186	Myofibroblast	2							contractile cell	CL:0000183	cell	CL:0000548
muscle cell	muscle cell	CL:0000187	MuscleCell	2							contractile cell	CL:0000183	cell	CL:0000548
smooth muscle cell	smooth muscle cell	CL:0000192	SmoothMuscle	3					muscle cell	CL:0000187	contractile cell	CL:0000183	cell	CL:0000548
photoreceptor cell	photoreceptor cell	CL:0000210	Photoreceptor	4			sensory neuron	CL:0000101	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
serous secreting cell	serous secreting cell	CL:0000313	SerousSecreting	2							secretory cell	CL:0000151	cell	CL:0000548
myelinating Schwann cell	myelinating Schwann cell	CL:0000218	MyelinSchwann	4			Schwann cell	CL:0002573	glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
erythrocyte	erythrocyte	CL:0000232	Erythrocyte	3					erythroid lineage cell	CL:0000764	hematopoietic cell	CL:0000988	cell	CL:0000548
macrophage	macrophage	CL:0000235	Macrophage	3					myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
B cell	B cell	CL:0000236	Bcell	3					lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
tracheal epithelial cell	tracheal epithelial cell	CL:0000307	TrachealEpithelial	4			respiratory epithelial cell	CL:0002368	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
keratinocyte	keratinocyte	CL:0000312	Keratinocyte	4			epidermal cell	CL:0000362	ecto-epithelial cell	CL:0002077	epithelial cell	CL:0000066	cell	CL:0000548
pneumocyte	pneumocyte	CL:0000322	Pneumocyte	3					epithelial cell of lung	CL:0000082	epithelial cell	CL:0000066	cell	CL:0000548
epidermal cell	epidermal cell	CL:0000362	Epidermal	3					ecto-epithelial cell	CL:0002077	epithelial cell	CL:0000066	cell	CL:0000548
Langerhans cell	Langerhans cell	CL:0000453	Langerhans	4			myeloid dendritic cell	CL:0000782	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
CD4-positive helper T cell	CD4-positive helper T cell	CL:0000492	ThCD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
stromal cell	stromal cell	CL:0000499	Stromal	2							connective tissue cell	CL:0002320	cell	CL:0000548
paneth cell	paneth cell	CL:0000510	Paneth	4			intestinal epithelial cell	CL:0002563	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
neuron	neuron	CL:0000540	Neuron	2							neural cell	CL:0002319	cell	CL:0000548
lymphocyte	lymphocyte	CL:0000542	Lymphocyte	2							hematopoietic cell	CL:0000988	cell	CL:0000548
T-helper 1 cell	T-helper 1 cell	CL:0000545	Th1CD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
proerythroblast	proerythroblast	CL:0000547	Proerythroblast	3					erythroid lineage cell	CL:0000764	hematopoietic cell	CL:0000988	cell	CL:0000548
cell	cell	CL:0000548	Cell	0										
megakaryocyte	megakaryocyte	CL:0000556	Megakaryocyte	2							hematopoietic cell	CL:0000988	cell	CL:0000548
granulocyte monocyte progenitor cell	granulocyte monocyte progenitor cell	CL:0000557	GranuloMonocytePC	3					hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
promonocyte	promonocyte	CL:0000559	Promonocyte	3					hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
amacrine cell	amacrine cell	CL:0000561	Amacrine	2							neural cell	CL:0002319	cell	CL:0000548
retinal cone cell	retinal cone cell	CL:0000573	RetinalCone	5	photoreceptor cell	CL:0000210	sensory neuron	CL:0000101	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
monocyte	monocyte	CL:0000576	Monocyte	3					myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
alveolar macrophage	alveolar macrophage	CL:0000583	AlvelolarMacrophage	5	lung macrophage	CL:1001603	macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
enterocyte	enterocyte	CL:0000584	Enterocyte	4			intestinal epithelial cell	CL:0002563	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
skeletal muscle fiber	skeletal muscle fiber	CL:0008002	SkeletalMuscle	3					muscle cell	CL:0000187	contractile cell	CL:0000183	cell	CL:0000548
pyramidal neuron	pyramidal neuron	CL:0000598	Pyramidal	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
retinal rod cell	retinal rod cell	CL:0000604	RetinalRod	5	photoreceptor cell	CL:0000210	sensory neuron	CL:0000101	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GABAergic neuron	GABAergic neuron	CL:0000617	GABAergicN	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
acinar cell	acinar cell	CL:0000622	Acinar	3					glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
natural killer cell	natural killer cell	CL:0000623	NKcell	4			innate lymphoid cell	CL:0001065	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	CL:0000624	CD4Tcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	CL:0000625	CD8Tcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
Mueller cell	Mueller cell	CL:0000636	Mueller	5	astrocyte	CL:0000127	macroglial cell	CL:0000126	glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
Bergmann glial cell	Bergmann glial cell	CL:0000644	BergmannGlial	5	astrocyte	CL:0000127	macroglial cell	CL:0000126	glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
basal cell	basal cell	CL:0000646	Basal	5	epithelial fate stem cell	CL:0000036	somatic stem cell	CL:0000723	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
mesangial cell	mesangial cell	CL:0000650	Mesangial	3					pericyte	CL:0000669	connective tissue cell	CL:0002320	cell	CL:0000548
pericyte	pericyte	CL:0000669	Pericyte	2							connective tissue cell	CL:0002320	cell	CL:0000548
glutamatergic neuron	glutamatergic neuron	CL:0000679	GlutamatergicN	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
muscle precursor cell	muscle precursor cell	CL:0000680	MusclePC	2							precursor cell	CL:0011115	cell	CL:0000548
radial glial cell	radial glial cell	CL:0000681	RadialGlial	3					glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
microfold cell	M cell of gut	CL:0000682	McellGut	3					endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
Cajal-Retzius cell	Cajal-Retzius cell	CL:0000695	CajalRetzius	4			central nervous system neuron	CL:2000029	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
PP cell	PP cell	CL:0000696	PPcell	4			enteroendocrine cell	CL:0000164	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
dopaminergic neuron	dopaminergic neuron	CL:0000700	DopaminergicN	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
endothelial tip cell	endothelial tip cell	CL:0000704	TipEndothelial	4			blood vessel endothelial cell	CL:0000071	endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
leptomeningeal cell	leptomeningeal cell	CL:0000708	Leptomeningeal	2							neural cell	CL:0002319	cell	CL:0000548
somatic stem cell	somatic stem cell	CL:0000723	SomaticStem	3					stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
striated muscle cell	striated muscle cell	CL:0000737	StriatedMuscle	3					muscle cell	CL:0000187	contractile cell	CL:0000183	cell	CL:0000548
leukocyte	leukocyte	CL:0000738	Leukocyte	2							hematopoietic cell	CL:0000988	cell	CL:0000548
retinal ganglion cell	retinal ganglion cell	CL:0000740	RetinalGanglion	4			central nervous system neuron	CL:2000029	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
retina horizontal cell	retina horizontal cell	CL:0000745	RetinalHorizontal	4			interneuron	CL:0000099	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
cardiac muscle cell	cardiac muscle cell	CL:0000746	CardiacMuscle	4			striated muscle cell	CL:0000737	muscle cell	CL:0000187	contractile cell	CL:0000183	cell	CL:0000548
retinal bipolar neuron	retinal bipolar neuron	CL:0000748	RetinalBPNeuron	4			bipolar neuron	CL:0000103	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
OFF-bipolar cell	OFF-bipolar cell	CL:0000750	OFFBipolar	5	retinal bipolar neuron	CL:0000748	bipolar neuron	CL:0000103	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
ON-bipolar cell	ON-bipolar cell	CL:0000749	ONBipolar	5	retinal bipolar neuron	CL:0000748	bipolar neuron	CL:0000103	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
rod bipolar cell	rod bipolar cell	CL:0000751	RodBipolar	5	retinal bipolar neuron	CL:0000748	bipolar neuron	CL:0000103	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
cone retinal bipolar cell	cone retinal bipolar cell	CL:0000752	ConeBipolar	5	retinal bipolar neuron	CL:0000748	bipolar neuron	CL:0000103	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
nucleated thrombocyte	nucleated thrombocyte	CL:0000762	NucleatedThrombocyte	3					myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
erythroid lineage cell	erythroid lineage cell	CL:0000764	Erythroid	2							hematopoietic cell	CL:0000988	cell	CL:0000548
erythroblast	erythroblast	CL:0000765	Erythroblast	3					erythroid lineage cell	CL:0000764	hematopoietic cell	CL:0000988	cell	CL:0000548
myeloid leukocyte	myeloid leukocyte	CL:0000766	Myeloid	2							hematopoietic cell	CL:0000988	cell	CL:0000548
basophil	basophil	CL:0000767	Basophil	4			granulocyte	CL:0000094	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
eosinophil	eosinophil	CL:0000771	Eosinophil	4			granulocyte	CL:0000094	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
neutrophil	neutrophil	CL:0000775	Neutrophil	4			granulocyte	CL:0000094	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
myeloid dendritic cell	myeloid dendritic cell	CL:0000782	cDC	3					myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
plasmacytoid dendritic cell	plasmacytoid dendritic cell	CL:0000784	pDC	3					lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
plasma cell	plasma cell	CL:0000786	Plasma	3					lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
memory B cell	memory B cell	CL:0000787	MemBcell	4			B cell	CL:0000236	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
naive B cell	naive B cell	CL:0000788	NaiBcell	4			B cell	CL:0000236	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
CD8-positive, alpha-beta cytotoxic T cell	CD8-positive, alpha-beta cytotoxic T cell	CL:0000794	CytotoxCD8Tcell	5	CD8-positive, alpha-beta T cell	CL:0000625	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
gamma-delta T cell	gamma-delta T cell	CL:0000798	gdTcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
memory T cell	memory T cell	CL:0000813	MemTcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
mature NK T cell	mature NK T cell	CL:0000814	NKTcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
regulatory T cell	regulatory T cell	CL:0000815	RegTcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
immature B cell	immature B cell	CL:0000816	ImmatureBcell	4			B cell	CL:0000236	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
precursor B cell	precursor B cell	CL:0000817	BcellPC	4			B cell	CL:0000236	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
immature natural killer cell	immature natural killer cell	CL:0000823	ImmatureNK	5	natural killer cell	CL:0000623	innate lymphoid cell	CL:0001065	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
pro-B cell	pro-B cell	CL:0000826	ProBcell	3					lymphoid lineage restricted progenitor cell	CL:0000838	hematopoietic cell	CL:0000988	cell	CL:0000548
pro-T cell	pro-T cell	CL:0000827	ProTcell	3					lymphoid lineage restricted progenitor cell	CL:0000838	hematopoietic cell	CL:0000988	cell	CL:0000548
hematopoietic multipotent progenitor cell	hematopoietic multipotent progenitor cell	CL:0000837	HematoMultipotentPC	3					hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
lymphoid lineage restricted progenitor cell	lymphoid lineage restricted progenitor cell	CL:0000838	LymphoidPC	2							hematopoietic cell	CL:0000988	cell	CL:0000548
myeloid lineage restricted progenitor cell	myeloid lineage restricted progenitor cell	CL:0000839	MyeloidPC	3					hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
follicular B cell	follicular B cell	CL:0000843	FollicularBcell	4			B cell	CL:0000236	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
germinal center B cell	germinal center B cell	CL:0000844	GermCenterBcell	4			B cell	CL:0000236	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
classical monocyte	classical monocyte	CL:0000860	ClassMonocyte	4			monocyte	CL:0000576	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
non-classical monocyte	non-classical monocyte	CL:0000875	NClassMonocyte	4			monocyte	CL:0000576	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
central nervous system macrophage	central nervous system macrophage	CL:0000878	CNSMacrophage	4			macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
perivascular macrophage	perivascular macrophage	CL:0000881	PerivascMacrophage	5	central nervous system macrophage	CL:0000878	macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
DN1 thymic pro-T cell	DN1 thymic pro-T cell	CL:0000894	DN1ProTcell	4			pro-T cell	CL:0000827	lymphoid lineage restricted progenitor cell	CL:0000838	hematopoietic cell	CL:0000988	cell	CL:0000548
naive thymus-derived CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895	NaiCD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
activated CD4-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	CL:0000896	ActCD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
CD4-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	CL:0000897	MemCD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
T-helper 17 cell	T-helper 17 cell	CL:0000899	Th17CD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
naive thymus-derived CD8-positive, alpha-beta T cell	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900	NaiCD8Tcell	5	CD8-positive, alpha-beta T cell	CL:0000625	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
central memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	CL:0000904	CMCD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
effector memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	CL:0000905	EMCD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
activated CD8-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	CL:0000906	ActCD8Tcell	5	CD8-positive, alpha-beta T cell	CL:0000625	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
central memory CD8-positive, alpha-beta T cell	central memory CD8-positive, alpha-beta T cell	CL:0000907	CMCD8Tcell	5	CD8-positive, alpha-beta T cell	CL:0000625	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
CD8-positive, alpha-beta cytokine secreting effector T cell	CD8-positive, alpha-beta cytokine secreting effector T cell	CL:0000908	CytokineCD8Tcell	5	CD8-positive, alpha-beta T cell	CL:0000625	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
effector T cell	effector T cell	CL:0000911	EffTcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
effector memory CD8-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	CL:0000913	EMCD8Tcell	5	CD8-positive, alpha-beta T cell	CL:0000625	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
immature NK T cell	immature NK T cell	CL:0000914	ImmatureNKTcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
CD4-positive, alpha-beta cytotoxic T cell	CD4-positive, alpha-beta cytotoxic T cell	CL:0000934	CytotoxCD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
pre-natural killer cell	pre-natural killer cell	CL:0000937	PreNKcell	5	natural killer cell	CL:0000623	innate lymphoid cell	CL:0001065	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
CD56-bright cytokine secreting natural killer cell	CD56-bright cytokine secreting natural killer cell	CL:0000938	CD56brightNK	5	natural killer cell	CL:0000623	innate lymphoid cell	CL:0001065	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
cytotoxic CD56-dim natural killer cell	cytotoxic CD56-dim natural killer cell	CL:0000939	CD56dimNK	5	natural killer cell	CL:0000623	innate lymphoid cell	CL:0001065	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
